Data;IBOV 100;DOLOF 100;ICON 100;IMAT 100;IDA IPCA 100;LFT 100;TC Incert 100;TC Incert Expect 100;TC Incert Indust 100;TC Incert Varejo 100;TC Atv Economica 100;DOLOF;IBOV;ICON;IMAT;IDA IPCA;LFT;TC Incert;TC Incert Expect;TC Incert Indust;TC Incert Varejo;TC Atv Economica;MKT;HML;SMB;WML;IML
01/06/2010;100;100;100;100;100;100;100;100;100;100;100;1.8255;61840;1291;2159.22;864.723582;2352.63428;138.249;247.951;215.693;215.903;1.78;-0.019037321;-0.001244159;0.004805236;0.004133387;0.005831363
02/06/2010;101.7820181;100.5861408;101.394268;101.7566529;100.0476853;100.0356571;100;100;100;100;99.88764045;1.8362;62942;1309;2197.15;865.135928;2353.47316;138.249;247.951;215.693;215.903;1.778;0.017867209;0.003234005;-0.003791674;0.001716732;-0.001454977
03/06/2010;;;;;;;100;100;100;100;99.7752809;;;;;;;138.249;247.951;215.693;215.903;1.776;;;;;
04/06/2010;99.73318241;100.7997809;100.697134;97.56578765;100.1231252;100.0713273;100;100;100;100;95;1.8401;61675;1300;2106.66;865.788275;2354.31235;138.249;247.951;215.693;215.903;1.691;-0.016328227;-0.005553805;0.008520865;-0.007530678;0.008218689
07/06/2010;98.93596378;102.0761435;101.626646;94.8740749;100.1531319;100.1070103;100;100;100;100;86.29213483;1.8634;61182;1312;2048.54;866.04775;2355.15184;138.249;247.951;215.693;215.903;1.536;-0.007310767;-0.006228244;-0.004022866;-0.014949634;0.004544056
08/06/2010;99.92399741;102.2076144;101.9364833;96.16481878;100.184814;100.142706;100;100;100;100;82.80898876;1.8658;61793;1316;2076.41;866.321712;2355.99163;138.249;247.951;215.693;215.903;1.474;0.007288726;0.009537298;0.003720369;0.008486277;-0.00513006
09/06/2010;99.41461837;100.9202958;101.16189;96.48808366;100.2039358;100.178414;100;100;100;100;81.40449438;1.8423;61478;1306;2083.39;866.487063;2356.83171;138.249;247.951;215.693;215.903;1.449;-0.004024675;-0.002985715;0.001483389;-0.003741561;0.010737437
10/06/2010;101.9534282;99.61654341;102.4786987;100.465909;100.2531454;100.2168522;100;100;100;100;80.28089888;1.8185;63048;1323;2169.28;866.91259;2357.73602;138.249;247.951;215.693;215.903;1.429;0.019954231;0.001243943;-0.007901287;0.008098152;-0.006154507
11/06/2010;102.8541397;99.28786634;102.788536;102.0975167;100.3143662;100.2553049;100;100;100;100;80.95505618;1.8125;63605;1327;2204.51;867.441981;2358.64067;138.249;247.951;215.693;215.903;1.441;0.005472071;-0.001843502;0.002643416;-0.001190011;-0.006191987
14/06/2010;102.7360931;98.76746097;103.4082107;102.2688749;100.3794622;100.2937728;100;100;100;100;81.62921348;1.803;63532;1335;2208.21;868.004881;2359.54568;138.249;247.951;215.693;215.903;1.453;-0.003179039;-0.006967233;0.000579925;-0.001393268;-0.000704583
15/06/2010;104.2076326;98.44426185;105.2672347;103.5457248;100.4233431;100.3322548;100;100;100;100;82.07865169;1.7971;64442;1359;2235.78;868.38433;2360.45102;138.249;247.951;215.693;215.903;1.461;0.011686299;0.006066462;0.003027045;0.014794851;-0.002043458
16/06/2010;104.7056921;98.01698165;106.4291247;103.7319032;100.5709214;100.3707521;100;100;100;100;80.39325843;1.7893;64750;1374;2239.8;869.660474;2361.35672;138.249;247.951;215.693;215.903;1.431;0.005165373;0.000116658;-0.001615698;0.003768925;-0.011174256
