Data;IBOV_var;DOLOF_var;ICON_var;IMAT_var;IDA IPCA_var;LFT_var;TC Incert_var;TC Incert Expect_var;TC Incert Indust_var;TC Incert Varejo_var;TC Atv Economica_var
01/06/2010;;;;;;;;;;;
02/06/2010;1.78;0.59;1.39;1.76;0.05;0.04;0.00;0.00;0.00;0.00;-0.11
03/06/2010;;;;;;;0.00;0.00;0.00;0.00;-0.11
04/06/2010;-2.01;0.21;-0.69;-4.12;0.08;0.04;0.00;0.00;0.00;0.00;-4.79
07/06/2010;-0.80;1.27;0.92;-2.76;0.03;0.04;0.00;0.00;0.00;0.00;-9.17
08/06/2010;1.00;0.13;0.30;1.36;0.03;0.04;0.00;0.00;0.00;0.00;-4.04
09/06/2010;-0.51;-1.26;-0.76;0.34;0.02;0.04;0.00;0.00;0.00;0.00;-1.70
10/06/2010;2.55;-1.29;1.30;4.12;0.05;0.04;0.00;0.00;0.00;0.00;-1.38
11/06/2010;0.88;-0.33;0.30;1.62;0.06;0.04;0.00;0.00;0.00;0.00;0.84
14/06/2010;-0.11;-0.52;0.60;0.17;0.06;0.04;0.00;0.00;0.00;0.00;0.83
15/06/2010;1.43;-0.33;1.80;1.25;0.04;0.04;0.00;0.00;0.00;0.00;0.55
16/06/2010;0.48;-0.43;1.10;0.18;0.15;0.04;0.00;0.00;0.00;0.00;-2.05
17/06/2010;-0.32;-0.42;0.29;-1.09;0.02;0.04;0.00;0.00;0.00;0.00;-1.96
18/06/2010;-0.16;-0.31;0.15;-0.28;0.04;0.04;0.00;0.00;0.00;0.00;0.21
21/06/2010;0.61;-0.55;0.58;1.36;0.04;0.04;0.00;0.00;0.00;0.00;-2.28
22/06/2010;-0.03;0.10;0.79;-0.10;0.02;0.04;0.00;0.00;0.00;0.00;-0.87
23/06/2010;0.54;1.29;0.36;1.35;0.00;0.04;0.00;0.00;0.00;0.00;-0.73
24/06/2010;-1.88;-0.01;-1.50;-1.08;0.01;0.04;0.00;0.00;0.00;0.00;1.18
25/06/2010;1.39;-0.70;1.01;1.21;0.04;0.04;0.00;0.00;0.00;0.00;0.15
28/06/2010;-0.92;0.25;0.86;-0.87;0.02;0.04;0.00;0.00;0.00;0.00;0.29
